Data
0.08
0.16
0.08
3.08
0.08
0.08
0.08
0.08
0.09
0.09
0.09
0.1
0.1
0.1
0.1
0.11
0.11
0.11
0.11
0.13
0.13
0.13
0.13
0.13
0.13
0.13
0.13
0.16
0.16
0.16
0.16
0.2
0.2
0.2
0.2
0.23
0.23
0.23
0.23
0.28
0.28
0.28
0.28
0.31
0.31
0.31
0.31
0.36
0.36
0.36
0.36
0.39
0.39
0.39
0.39
0.42
0.42
0.42
0.42
0.46
0.46
0.46
0.46
0.51
0.51
0.51
0.51
0.56
0.56
0.56
0.56
0.62
0.62
0.62
0.62
0.68
0.68
0.68
